recipe_name,ingredients_list,cuisine,cook_time_minutes,timing,calories,servings,rating,url,img_src,directions
Apple Turnovers,"['tablespoons lemon juice', 'water', 'granny smith apples - peeled', 'cored and sliced', 'tablespoons butter', 'brown sugar', 'teaspoon ground cinnamon', 'tablespoon cornstarch', 'tablespoon water', 'package frozen puff pastry sheets', 'thawed', ""confectioners' sugar"", 'tablespoon milk', 'teaspoon vanilla extract']",american,25,"Prep Time: 30 mins, Cook Time: 25 mins, Total Time: 55 mins, Servings: 8, Yield: 8 turnovers",574,8,4.6,https://www.allrecipes.com/recipe/59124/apple-turnovers/,https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg,"Combine the lemon and 4 cups water in a large bowl. Place the sliced apples in the water to keep them from browning.
Melt butter in a large skillet over medium heat. Drain water from apples, and place them into the hot skillet. Cook and stir for about 2 minutes. Add brown sugar, and cinnamon, and cook, stirring, for 2 more minutes. Stir together cornstarch and 1 tablespoon water. Pour into the skillet, and mix well. Cook for another minute, or until sauce has thickened. Remove from heat to cool slightly.
Preheat the oven to 400 degrees F (200 degrees C).
Unfold puff pastry sheets, and repair any cracks by pressing them back together. Trim each sheet into a square. Then cut each larger square into 4 smaller squares. Spoon apples onto the center of each squares. Fold over from corner to corner into a triangle shape, and press edges together to seal. Place turnovers on a baking sheet, leaving about 1 inch between them.
Bake for 25 minutes in the preheated oven, until turnovers are puffed and lightly browned. Cool completely before glazing.
To make the glaze, mix together the confectioners' sugar, milk and vanilla in a small bowl. Adjust the thickness by adding more sugar or milk if necessary. Drizzle glaze over the cooled turnovers.











Dotdash Meredith Food Studios
"
Apple Crisp - Perfect and Easy,"['½  apples - peeled', 'cored', 'and sliced', 'sifted all-purpose flour', 'white sugar', '½ teaspoon ground cinnamon', '¼ teaspoon salt', '½  butter', 'softened']",american,40,"Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 6, Yield: 1 8-inch square dish",376,6,4.7,https://www.allrecipes.com/recipe/229274/apple-crisp-perfect-and-easy/,https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg,"Preheat the oven to 375 degrees F (190 degrees C). Lightly grease an 8-inch square baking dish.
Arrange apple slices evenly in the prepared baking dish. Sift flour, sugar, cinnamon, and salt into a bowl. Cut in butter using a pastry blender, or 2 knives, until mixture resembles coarse cornmeal; sprinkle over apples.
Bake in the preheated oven until topping is golden, 40 to 45 minutes. Cool slightly before serving.











naples34102
"
The Best Caramel Apples,"['large tart apples', 'wooden chopsticks for handles', 'packed brown sugar', 'can sweetened condensed milk', 'light corn syrup', 'butter', 'teaspoons vanilla extract']",american,30,"Prep Time: 15 mins, Cook Time: 30 mins, Additional Time: 1 hrs 30 mins, Total Time: 2 hrs 15 mins, Servings: 8",840,8,4.5,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/,https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg,"Bring a large saucepan of water to a boil. Dip apples in boiling water for a few seconds, using a slotted spoon, then dry with paper towels to remove any wax from the peels. Set apples aside to cool completely, about 30 minutes.
Insert sticks into the bottom of each cooled apple through the core for a handle.
Line a baking sheet with parchment paper.
Stir brown sugar, sweetened condensed milk, corn syrup, and butter together in a saucepan over medium-high heat. Bring to a boil, stirring constantly, then reduce heat to medium. Cook until a candy thermometer reads 248 degrees F (120 degrees C), stirring constantly to prevent burning, about 25 to 30 minutes. A teaspoon of caramel dropped in a glass of cold water, should form a firm ball. Remove caramel from heat and stir in vanilla extract.
Working quickly, dip each apple into the hot caramel to completely coat the apple and about 1/2 inch of the wooden handle. Sprinkle apples with any desired toppings while still hot. Let caramel apples cool on the prepared baking sheet, about 1 hour. Use caution, caramel is very hot."
Mulligatawny Soup,"['½  chopped onion', 'stalks celery', 'chopped', 'carrot', 'diced', '¼  butter', '½ tablespoons all-purpose flour', '½ teaspoons curry powder', 'chicken broth', '½  apple', 'cored and chopped', '¼  white rice', 'skinless', 'boneless chicken breast half - cut into cubes', 'pinch dried thyme', 'salt and ground black pepper to taste', '½  heavy cream', 'heated']",indian,60,"Prep Time: 20 mins, Cook Time: 1 hrs, Total Time: 1 hrs 20 mins, Servings: 6",228,6,4.8,https://www.allrecipes.com/recipe/13087/mulligatawny-soup-i/,https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg,"Melt butter in a large soup pot over medium heat. Add onions, celery, and carrot and sauté until soft, 5 to 7 minutes. Add flour and curry, and cook 5 more minutes, stirring frequently. Add chicken broth, mix well, and bring to a boil. Reduce heat and simmer for about 30 minutes.
Add apple, rice, chicken, thyme, salt, and pepper. Simmer until rice is tender, 15 to 20 minutes.
Just before serving, stir in hot cream.











TheBritishBaker
"
Sauteed Apples,"['¼  butter', 'large tart apples - peeled', 'cored and sliced  inch thick', '½  cold water', 'teaspoons cornstarch', '½  brown sugar', '½ teaspoon ground cinnamon']",american,15,"Prep Time: 5 mins, Cook Time: 15 mins, Total Time: 20 mins, Servings: 8, Yield: 4 cups",150,8,4.8,https://www.allrecipes.com/recipe/21672/sauteed-apples/,https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg,"Melt butter in a large skillet or saucepan over medium heat; add apples and cook, stirring constantly, until almost tender, 6 to 7 minutes.
Mix water and cornstarch together in a small bowl until cornstarch is dissolved; pour over apples. Stir in brown sugar and cinnamon. Bring to a boil for 2 minutes, stirring occasionally. Remove from heat and serve warm.











dotdash meredith food studios
"
Homemade Apple Cider,"['large apples', 'quartered', 'water', 'to cover', '¾  white sugar', 'tablespoon ground cinnamon', 'tablespoon ground allspice']",american,180,"Prep Time: 15 mins, Cook Time: 3 hrs, Additional Time: 4 hrs, Total Time: 7 hrs 15 mins, Servings: 16, Yield: 1 gallon",88,16,4.4,https://www.allrecipes.com/recipe/211772/homemade-apple-cider/,https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg,"Place apples in a large stockpot; cover with water by at least 2 inches. Stir in sugar, cinnamon, and allspice. Bring to a boil over medium-high heat. Boil, uncovered, for 1 hour. Reduce heat; cover and simmer for 2 hours.
Strain apple mixture through a fine-mesh sieve; discard solids. Drain cider again through a cheesecloth-lined sieve.
Refrigerate cider until cold, about 4 hours.











 LaDonna Langwell 
"
Canned Apple Pie Filling,"['½  white sugar', 'cornstarch', 'teaspoons ground cinnamon', '¼ teaspoon ground nutmeg', 'water', 'teaspoons salt', 'tablespoons lemon juice', 'drops yellow food coloring', 'pounds apples']",american,10,"Prep Time: 30 mins, Cook Time: 10 mins, Additional Time: 20 mins, Total Time: 1 hrs, Servings: 56, Yield: 7 quarts",100,56,4.5,https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/,https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg,"Mix sugar, cornstarch, cinnamon, and nutmeg in a large pan. Add water and salt and mix well. Bring to a boil and cook until thick and bubbly. Remove from heat and add lemon juice and food coloring.
Sterilize canning jars, lids, and rings by boiling them in a large pot of water.
Peel, core, and slice apples. Pack the sliced apples into hot canning jars, leaving a 1/2 inch of headspace.
Fill jars with hot syrup, and gently remove air bubbles with a knife.
Put lids on and process in a water bath canner for 20 minutes."
Easy Apple Pie,"['package pastry for a -inch double-crust pie', '¾  white sugar', 'or more to taste', 'teaspoon ground cinnamon', 'thinly sliced apples', 'tablespoon butter']",american,40,"Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 8, Yield: 1 9-inch pie",257,8,4.6,https://www.allrecipes.com/recipe/12324/apple-pie-i/,https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg,"Preheat the oven to 450 degrees F (230 degrees C).
Line a 9-inch pie dish with one pastry crust; set second one aside.
Combine 3/4 cup sugar and cinnamon in a small bowl. Add more sugar if your apples are tart.
Layer apple slices in the prepared pie dish, sprinkling each layer with cinnamon-sugar mixture. Dot top layer with small pieces of butter. Cover with top crust.
Bake pie on the lowest rack of the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until golden brown and filling bubbles, 30 to 35 minutes more. Serve warm or cold.











dotdash meredith food studios
"
Apple Crumb Pie,"['thinly sliced apples', 'tablespoon lemon juice', '¾  white sugar', 'tablespoons all-purpose flour', '½ teaspoon ground cinnamon', '⅛ teaspoon ground nutmeg', '½  raisins', '½  chopped walnuts', 'pie shell', '½  all-purpose flour', '½  packed brown sugar', 'tablespoons butter']",american,50,"Prep Time: 30 mins, Cook Time: 50 mins, Total Time: 1 hrs 20 mins, Servings: 8, Yield: 1 9-inch pie",431,8,4.7,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/,https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg,"Preheat the oven to 375 degrees F (190 degrees C).
Place sliced apples in a large bowl; sprinkle with lemon juice. Mix white sugar, 2 tablespoons flour, cinnamon, and nutmeg together in a small bowl; sprinkle mixture over apples and toss until evenly coated. Stir in raisins and walnuts; transfer mixture into pie shell.
Mix 1/2 cup flour and brown sugar together in a small bowl. Blend in butter with a fork until mixture is crumbly; sprinkle over apple filling. Cover top of pie loosely with aluminum foil.
Bake in the preheated oven for 25 minutes. Remove foil and bake until top is golden brown and filling is bubbly, about 25 to 30 minutes more. Cool on a wire rack before serving."
Caramel Apples,"['apples', 'wooden craft sticks', 'cooking spray', 'package individually wrapped caramels', 'unwrapped', 'tablespoons milk']",american,2,"Prep Time: 8 mins, Cook Time: 2 mins, Additional Time: 15 mins, Total Time: 25 mins, Servings: 6, Yield: 6 caramel apples",350,6,4.4,https://www.allrecipes.com/recipe/21130/caramel-apples/,https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg,"Remove the stem from each apple and press a craft stick into the top. Spray a baking sheet with cooking spray.
Place caramels and milk in a microwave-safe bowl; microwave for 2 minutes, stirring once. Set aside to cool briefly.
Roll each apple quickly in caramel sauce until well coated. Place on prepared sheet to set.









"
German Apple Cake,"['vegetable oil', 'eggs', 'white sugar', 'teaspoon vanilla extract', 'all-purpose flour', 'teaspoons ground cinnamon', 'teaspoon baking soda', '½ teaspoon salt', 'apples - peeled', 'cored and diced']",german,45,"Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 24, Yield: 1 9x13-inch cake",210,24,4.6,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg,"Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch cake pan.
Beat oil and eggs in a mixing bowl with an electric mixer until creamy. Add sugar and vanilla; beat well.
Stir together flour, cinnamon, baking soda, and salt in a bowl. Slowly add flour mixture to egg mixture; mix until combined. The batter will be very thick. Fold in apples by hand using a wooden spoon. Spread batter into the prepared pan.
Bake cake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes. Cool cake on a wire rack."
"Awesome Sausage, Apple and Cranberry Stuffing","['¾  cubed white bread', '½  cubed whole wheat bread', 'ground turkey sausage', 'chopped onion', '¾  chopped celery', '½ teaspoons dried sage', '½ teaspoons dried rosemary', '½ teaspoon dried thyme', 'golden delicious apple', 'cored and chopped', '¾  dried cranberries', '⅓  minced fresh parsley', 'cooked turkey liver', 'finely chopped', '¾  turkey stock', 'tablespoons unsalted butter', 'melted']",american,15,"Prep Time: 15 mins, Cook Time: 15 mins, Additional Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 10",248,10,4.8,https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg,"Preheat the oven to 350 degrees F (175 degrees C).
Spread white and whole wheat bread cubes in a single layer on a large baking sheet.
Bake in the preheated oven until evenly toasted, 5 to 7 minutes. Transfer toasted bread cubes to a large bowl.
Cook sausage and onions in a large skillet over medium heat, stirring and breaking up lumps, until evenly browned, 6 to 8 minutes. Add celery, sage, rosemary, and thyme; cook and stir until flavors blend, about 2 minutes.
Pour sausage mixture over bread in bowl. Mix in chopped apple, dried cranberries, parsley, and liver. Drizzle with turkey stock and melted butter; mix lightly.
Allow stuffing to cool completely before loosely stuffing a turkey.











Dotdash Meredith Food Studios
"
